,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventitial fibroblasts,1,363,20,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Alveolar fibroblasts,0,21,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0
Alveolar macrophages,0,2,1,886,0,0,0,0,4,1,11,0,0,1,0,0,0,0,102,0,0,1,5,0,0,0,0,0,0,0,1
B cells,0,0,0,0,377,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,1,0,0,0,612,0,0,0,7,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,57,2
CD4 T cells,0,0,0,1,0,0,738,92,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,1,3,0,78,820,1,1,4,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,1,0
Classical monocytes,0,1,0,2,0,0,0,1,914,2,11,0,0,0,2,0,0,0,51,0,0,1,72,0,0,0,0,0,1,0,0
Club,0,0,0,1,0,5,0,0,1,502,0,1,2,0,0,0,132,16,0,0,0,0,0,0,0,0,4,0,0,62,19
DC2,0,0,0,3,3,1,0,3,20,2,827,0,0,0,0,0,0,0,90,0,0,0,17,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,257,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,0,1,0,2,0,0,0,16,391,8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,5,414,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,0,2,0,0,22,39,493,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Goblet,0,0,0,1,0,1,0,0,0,118,0,5,0,1,0,0,542,1,1,2,18,0,0,0,0,0,12,0,0,11,10
Hillock-like,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,5,250,0,1,0,0,0,0,0,0,0,0,0,41,0
Interstitial macrophages,0,0,0,102,0,0,0,0,61,0,82,0,0,0,0,0,0,0,818,0,0,1,30,0,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,1,0,2,0,1,0,3,0,6,0,0,0,1,3,0,1,0,1350,0,0,0,1,0,0,0,0,0,4
NK cells,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,5,1,0,0,1,65,0,9,0,0,0,0,0,0,0,47,0,0,0,584,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0
Pericytes,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,133,0,0,0,0,0,0
Plasma cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,211,1,5,2,5
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,126,0,0
Suprabasal,0,3,0,0,1,78,0,0,0,50,1,1,2,0,0,0,9,32,0,0,2,0,0,0,0,0,1,0,0,603,0
Transitional Club-AT2,3,1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,1,2,473
