,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,45,3,0,0,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,307,0,0,5,0,1,0,0,0,0,1
T-helper 22 cell,0,0,0,81,33,0,1,1,0,5,0,9,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,16,160,4,3,0,0,4,0,27,8
"effector CD8-positive, alpha-beta T cell",0,0,3,0,0,117,5,2,4,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,0,8,79,18,2,2,0,1,7
gamma-delta T cell,1,0,7,9,5,8,11,30,1,8,0,1,2
mature NK T cell,1,0,4,0,0,11,1,1,71,1,0,0,0
mucosal invariant T cell,0,0,0,9,1,2,6,6,0,39,0,6,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,11,27,0,0,1,0,3,0,246,8
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,12,19,0,5,0,0,1,0,14,105
