,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,4,0,0,0,0,0,1,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,306,0,0,4,0,1,1,0,0,0,0
T-helper 22 cell,0,0,0,99,18,0,2,1,0,4,0,4,6
"central memory CD4-positive, alpha-beta T cell",0,0,1,22,159,5,1,1,0,4,0,22,8
"effector CD8-positive, alpha-beta T cell",0,0,0,0,0,124,3,4,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,2,5,90,7,0,3,0,0,9
gamma-delta T cell,0,0,3,8,7,4,6,39,1,13,0,2,0
mature NK T cell,1,0,3,0,0,11,1,1,71,1,0,1,0
mucosal invariant T cell,0,0,0,6,1,1,1,4,0,50,0,5,1
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,4,21,0,0,0,0,0,0,265,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,7,19,0,3,0,0,0,0,10,117
