,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,298,0,0,0,0,0,0,0,5,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,45,6,0,0,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,200,0,0,36,2,1,1,0,0,0,1
T-helper 22 cell,0,0,0,74,17,0,4,0,0,5,0,5,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,62,223,4,11,6,0,8,0,81,22
"effector CD8-positive, alpha-beta T cell",0,0,0,0,3,100,1,16,2,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,11,63,29,2,9,0,3,3
gamma-delta T cell,1,1,3,18,4,3,5,10,0,1,0,0,1
mature NK T cell,1,0,2,0,0,3,0,1,73,0,0,1,0
mucosal invariant T cell,0,0,0,11,0,0,14,18,0,31,0,3,1
naive B cell,0,0,0,0,0,0,0,0,0,0,189,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,7,0,0,0,0,2,0,206,13
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,36,8,0,5,2,0,1,0,16,91
