,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,253,0,0,0,0,0,0,0,0,0,0,1,0
"CD16-negative, CD56-bright natural killer cell, human",0,25,4,0,0,0,0,2,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,0,201,0,0,0,0,0,0,0,0,1,0
T-helper 22 cell,0,0,0,101,27,0,7,9,0,8,0,10,7
"central memory CD4-positive, alpha-beta T cell",0,0,0,16,166,0,1,3,0,1,0,32,17
"effector CD8-positive, alpha-beta T cell",0,0,0,0,1,47,2,2,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,2,7,34,4,1,2,0,0,7
gamma-delta T cell,0,0,6,4,2,19,11,44,0,14,0,2,1
mature NK T cell,1,0,2,1,0,3,0,0,56,0,0,0,1
mucosal invariant T cell,0,0,0,5,1,1,7,5,0,32,0,7,0
naive B cell,0,0,0,0,0,0,0,0,0,0,120,1,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,31,0,1,2,0,1,0,256,8
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,7,0,0,1,0,0,0,10,125
