,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,1146,0,0,0,0,0,0,0,7,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,208,34,1,0,1,0,2,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,24,1518,0,0,19,0,17,4,0,0,0,0
T-helper 22 cell,0,0,0,424,144,0,8,8,0,18,0,33,34
"central memory CD4-positive, alpha-beta T cell",0,0,2,118,744,13,17,12,1,14,0,127,67
"effector CD8-positive, alpha-beta T cell",0,0,10,2,6,572,27,37,2,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,5,4,28,437,49,1,23,0,2,43
gamma-delta T cell,0,1,22,46,44,32,40,156,2,46,0,18,7
mature NK T cell,9,0,10,1,1,60,5,5,354,0,0,4,0
mucosal invariant T cell,0,0,0,27,3,4,31,28,0,231,0,19,3
naive B cell,0,0,0,0,0,0,0,0,0,0,624,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,16,99,0,0,3,0,5,0,1311,44
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,69,80,0,19,9,0,4,0,91,509
