,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,157,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,20,4,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,0,264,0,0,0,0,0,0,0,0,0,0
T-helper 22 cell,0,0,0,99,65,0,3,11,0,6,0,12,7
"central memory CD4-positive, alpha-beta T cell",0,0,1,20,116,0,6,7,0,3,0,12,9
"effector CD8-positive, alpha-beta T cell",0,0,5,0,0,103,6,1,0,0,0,1,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,2,4,104,2,0,1,0,1,14
gamma-delta T cell,0,0,3,16,12,2,6,25,0,0,0,6,4
mature NK T cell,1,0,2,0,0,13,2,0,64,0,0,0,0
mucosal invariant T cell,0,0,1,12,4,0,6,5,0,25,0,7,0
naive B cell,0,0,0,0,0,0,0,0,0,0,60,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,12,34,0,0,1,0,1,0,247,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,10,27,0,5,3,0,1,0,10,111
