,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,236,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,50,6,1,0,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,11,469,0,0,7,0,7,1,0,0,0,0
T-helper 22 cell,0,0,0,49,6,0,0,1,0,3,0,3,4
"central memory CD4-positive, alpha-beta T cell",0,0,0,25,67,3,2,1,1,0,0,15,9
"effector CD8-positive, alpha-beta T cell",0,0,2,0,2,126,16,7,1,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,1,1,148,12,1,6,0,1,9
gamma-delta T cell,0,0,3,5,7,5,8,39,0,4,0,9,1
mature NK T cell,2,0,3,1,1,16,1,0,95,0,0,2,0
mucosal invariant T cell,0,0,0,3,0,0,8,6,0,48,0,4,1
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,8,7,0,0,1,0,1,0,213,13
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,1,12,0,4,3,0,0,0,15,122
