,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,199,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,72,7,0,0,0,0,1,0,1,0,0,1
"CD16-positive, CD56-dim natural killer cell, human",0,5,364,0,0,4,0,3,0,0,0,0,0
T-helper 22 cell,0,0,0,90,14,0,0,1,0,3,0,12,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,18,110,5,1,0,0,3,0,22,5
"effector CD8-positive, alpha-beta T cell",0,0,5,0,0,191,3,8,2,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,0,12,74,8,0,2,0,1,6
gamma-delta T cell,1,0,6,8,9,11,12,53,1,3,0,3,2
mature NK T cell,4,0,1,0,0,20,1,2,72,0,0,1,0
mucosal invariant T cell,0,0,0,9,0,2,5,9,0,47,0,5,3
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,12,32,0,1,4,0,0,0,341,9
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,12,8,0,4,5,0,1,0,27,93
