,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,222,0,0,2,0,0,0,0,3,0,0,4,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,6,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,301,0,1,4,1,5,1,0,0,1,2
T-helper 22 cell,0,0,0,89,20,0,3,5,0,8,0,8,1
"central memory CD4-positive, alpha-beta T cell",0,0,0,29,148,2,0,6,1,1,0,25,11
"effector CD8-positive, alpha-beta T cell",0,0,1,0,2,110,10,4,3,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,3,1,9,77,9,0,9,0,0,10
gamma-delta T cell,0,0,3,9,6,2,8,43,0,6,0,5,1
mature NK T cell,0,0,2,0,0,8,2,3,74,0,0,1,0
mucosal invariant T cell,0,0,1,5,0,0,7,5,0,44,0,7,0
naive B cell,0,0,0,0,2,0,0,0,0,0,122,1,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,27,0,0,5,0,1,0,248,8
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,2,11,0,5,2,0,2,0,6,128
