,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,41,8,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,306,0,0,8,2,0,0,0,0,0,0
T-helper 22 cell,0,0,0,81,38,0,4,0,0,2,0,7,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,22,154,2,4,2,0,1,0,33,5
"effector CD8-positive, alpha-beta T cell",0,0,2,0,1,121,3,1,3,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,0,7,77,17,1,6,0,2,6
gamma-delta T cell,0,1,5,7,6,13,9,28,1,9,0,3,1
mature NK T cell,2,0,4,0,0,10,1,2,69,0,0,2,0
mucosal invariant T cell,0,0,0,3,0,2,4,8,0,46,0,5,1
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,3,32,0,0,1,0,1,0,251,8
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,9,17,0,5,2,0,1,0,18,104
