,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,228,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,5,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,307,0,1,4,0,2,0,0,0,0,0
T-helper 22 cell,0,0,0,102,18,0,1,3,0,4,0,5,1
"central memory CD4-positive, alpha-beta T cell",0,0,0,29,148,2,3,3,0,1,0,23,14
"effector CD8-positive, alpha-beta T cell",0,0,1,0,2,123,4,1,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,3,5,88,5,0,7,0,0,8
gamma-delta T cell,0,0,4,7,8,4,8,40,0,7,0,4,1
mature NK T cell,1,0,1,0,0,13,1,2,70,0,0,2,0
mucosal invariant T cell,0,0,0,2,0,2,3,7,0,51,0,4,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,4,16,0,0,1,0,0,0,271,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,1,15,0,3,3,0,0,0,13,121
