,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,6,0,0,0,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,294,0,0,14,1,3,2,0,0,0,0
T-helper 22 cell,0,0,0,95,24,0,1,3,0,2,0,7,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,27,141,2,3,2,0,1,0,31,16
"effector CD8-positive, alpha-beta T cell",0,0,4,0,1,114,3,9,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,1,0,2,4,3,84,8,0,7,0,0,9
gamma-delta T cell,0,0,7,8,8,9,7,29,0,10,0,4,1
mature NK T cell,1,0,2,0,0,14,1,1,69,0,0,2,0
mucosal invariant T cell,0,0,1,2,1,1,5,10,0,45,0,4,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,22,0,0,1,0,0,0,265,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,4,13,0,4,0,0,1,0,15,119
