,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,3,0,1,0,0,3,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,303,0,0,2,0,4,2,0,0,1,1
T-helper 22 cell,0,0,0,84,24,0,3,8,0,4,0,6,5
"central memory CD4-positive, alpha-beta T cell",0,1,1,26,144,2,3,3,0,2,0,29,12
"effector CD8-positive, alpha-beta T cell",0,0,2,0,0,111,13,1,3,1,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,2,12,81,6,0,8,0,0,8
gamma-delta T cell,0,0,3,8,5,2,8,45,0,7,0,2,3
mature NK T cell,1,0,4,1,1,7,1,2,73,0,0,0,0
mucosal invariant T cell,0,0,0,7,3,1,6,4,0,41,0,6,1
naive B cell,0,0,0,0,1,0,0,0,0,0,124,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,32,0,1,7,0,2,0,243,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,7,4,0,4,3,0,0,0,8,130
