,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,4,0,0,0,0,0,1,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,6,304,0,0,4,0,3,0,0,0,0,0
T-helper 22 cell,0,0,0,97,19,0,2,1,0,4,0,5,6
"central memory CD4-positive, alpha-beta T cell",0,0,1,17,161,5,1,1,0,5,0,23,9
"effector CD8-positive, alpha-beta T cell",0,0,2,0,1,122,5,1,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,2,6,90,8,0,3,0,0,8
gamma-delta T cell,0,0,3,8,8,4,5,38,1,14,0,2,0
mature NK T cell,0,0,3,0,0,11,1,1,72,1,0,1,0
mucosal invariant T cell,0,0,0,5,0,1,2,5,0,50,0,5,1
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,18,0,0,0,0,1,0,266,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,18,0,3,0,0,0,0,13,116
