,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,6,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,6,303,0,0,3,0,3,2,0,0,0,0
T-helper 22 cell,0,0,0,97,21,0,0,2,0,5,0,7,2
"central memory CD4-positive, alpha-beta T cell",0,0,1,22,156,1,4,1,0,3,0,30,5
"effector CD8-positive, alpha-beta T cell",0,0,1,0,1,117,6,5,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,2,5,87,9,0,5,0,1,8
gamma-delta T cell,0,0,4,9,12,3,6,35,1,11,0,2,0
mature NK T cell,2,0,1,0,0,17,3,1,66,0,0,0,0
mucosal invariant T cell,0,0,0,4,3,0,6,6,0,45,0,5,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,6,25,0,0,3,0,0,0,259,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,2,11,0,4,1,0,0,0,22,116
