,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,5,0,1,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,295,0,0,14,1,3,0,0,0,0,0
T-helper 22 cell,0,0,0,82,35,0,4,3,0,3,0,6,1
"central memory CD4-positive, alpha-beta T cell",0,0,0,18,154,2,3,1,0,2,0,31,12
"effector CD8-positive, alpha-beta T cell",0,0,9,0,1,112,4,5,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,1,2,0,2,2,93,1,0,5,0,0,12
gamma-delta T cell,0,1,2,14,10,9,8,29,0,8,1,1,0
mature NK T cell,2,0,2,0,0,8,1,1,75,0,0,1,0
mucosal invariant T cell,0,0,0,7,0,1,6,10,0,42,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,20,0,1,0,0,2,0,265,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,9,16,0,3,0,0,0,0,17,111
