,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,5,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,308,0,0,3,0,1,1,0,0,0,0
T-helper 22 cell,0,0,0,90,25,0,2,3,0,4,0,8,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,18,167,2,3,1,0,2,0,23,7
"effector CD8-positive, alpha-beta T cell",0,0,2,0,0,122,6,0,0,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,1,101,0,0,3,0,1,11
gamma-delta T cell,0,0,1,8,16,4,5,36,0,11,1,1,0
mature NK T cell,2,0,1,0,0,7,1,1,77,0,0,1,0
mucosal invariant T cell,0,0,0,4,1,1,5,5,0,50,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,3,18,0,0,0,0,2,0,268,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,15,0,4,0,0,0,0,15,117
