,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,1,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,47,2,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,304,0,2,2,0,5,1,0,0,1,1
T-helper 22 cell,0,0,0,89,24,0,2,2,0,9,0,4,4
"central memory CD4-positive, alpha-beta T cell",0,0,0,17,167,1,2,5,1,3,0,21,6
"effector CD8-positive, alpha-beta T cell",0,0,0,1,0,111,11,5,1,0,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,7,88,3,0,10,0,0,9
gamma-delta T cell,0,0,3,18,6,2,3,39,1,8,0,3,0
mature NK T cell,3,0,3,0,1,5,2,1,75,0,0,0,0
mucosal invariant T cell,0,0,0,5,0,1,8,12,0,38,0,5,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,33,0,0,2,0,3,0,247,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,4,8,0,4,0,0,0,0,7,133
