,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,185,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adventitial fibroblasts,0,350,23,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Alveolar fibroblasts,0,19,265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
Alveolar macrophages,0,1,0,870,0,0,1,0,6,4,8,0,0,0,2,1,2,0,111,0,0,0,8,0,1,0,0,0,0,0,0
B cells,0,0,0,1,367,2,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Basal resting,0,0,0,0,0,592,1,1,1,5,0,0,0,0,0,0,3,7,0,0,2,0,0,0,0,0,0,0,0,70,4
CD4 T cells,0,0,0,0,1,0,758,70,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
CD8 T cells,0,2,0,3,2,0,97,784,1,1,7,0,1,1,1,0,0,2,1,0,0,41,1,3,0,1,1,0,0,1,1
Classical monocytes,0,1,0,9,0,0,2,1,898,2,17,0,0,0,2,1,0,0,49,0,0,1,73,0,0,0,0,0,0,1,1
Club,0,0,0,1,0,5,1,1,1,517,0,0,0,1,0,0,105,13,0,0,2,0,2,0,0,0,0,0,0,66,30
DC2,0,0,0,10,0,1,1,2,15,0,827,0,0,0,0,3,0,0,80,0,2,0,24,0,0,0,0,0,0,0,1
Deuterosomal,0,0,0,0,0,0,0,0,0,2,0,184,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,258,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,2,0,0,0,2,2,3,0,2,0,0,26,366,9,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
EC venous pulmonary,0,3,0,0,0,0,0,0,1,1,0,0,1,7,396,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,0,0,0,0,0,1,24,39,488,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
Goblet,0,0,0,4,0,5,1,0,0,107,0,3,0,0,0,0,546,4,0,0,14,0,1,0,0,0,8,0,0,20,10
Hillock-like,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,1,257,1,0,0,0,0,0,0,0,0,0,0,39,0
Interstitial macrophages,0,0,0,93,0,2,1,2,42,1,70,0,0,0,0,0,0,1,851,0,0,2,27,0,0,0,0,0,0,0,2
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,0,0,9,0,0,0,1,0,10,0,0,0,0,17,0,0,0,1333,2,0,1,0,0,0,0,0,0,0
NK cells,0,0,0,1,0,0,1,44,0,1,1,0,0,0,0,1,1,0,0,0,0,569,1,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,6,1,0,1,3,58,0,14,0,0,0,0,0,1,1,28,0,0,0,597,0,0,1,0,0,0,1,0
Peribronchial fibroblasts,0,16,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0
Pericytes,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,130,0,0,0,0,0,0
Plasma cells,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,291,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,201,0,10,4,4
SMG mucous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91,1,1,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,127,1,0
Suprabasal,5,0,0,0,0,66,0,0,1,58,1,1,0,1,0,0,13,31,0,0,1,2,0,0,0,1,0,0,0,602,0
Transitional Club-AT2,4,2,0,0,0,1,0,0,0,22,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,4,0,0,0,462
