,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adventitial fibroblasts,0,368,19,0,0,0,0,2,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Alveolar fibroblasts,0,23,269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0
Alveolar macrophages,0,1,0,871,0,1,0,1,3,2,11,0,0,0,1,1,1,0,111,0,0,1,9,0,0,0,0,1,0,0,0
B cells,0,0,0,0,377,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Basal resting,0,1,0,0,0,603,0,0,1,7,1,0,0,1,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,60,0
CD4 T cells,0,0,0,0,0,0,753,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CD8 T cells,0,1,0,1,5,1,72,824,0,0,2,0,1,3,0,0,0,1,2,0,0,36,1,0,1,1,0,0,0,0,0
Classical monocytes,0,0,1,3,0,1,2,2,942,0,23,0,2,0,0,0,0,0,39,0,0,1,40,0,2,0,0,0,0,0,0
Club,0,0,0,0,0,2,0,0,2,505,0,1,1,0,0,0,137,8,0,0,0,0,0,0,0,0,1,1,0,64,23
DC2,0,0,0,4,2,0,1,2,17,0,848,0,0,0,0,1,0,0,63,0,1,0,26,0,0,0,0,0,0,1,0
Deuterosomal,0,0,0,0,0,0,0,0,0,2,0,180,0,0,0,0,3,0,0,0,9,0,1,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,256,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,0,3,0,0,1,0,0,14,398,8,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,1,0,0,0,6,416,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,0,2,0,0,30,29,494,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Goblet,0,0,0,2,0,0,0,0,0,99,0,4,0,0,0,0,576,3,0,1,17,0,0,0,0,0,6,2,0,6,7
Hillock-like,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,0,2,254,0,0,0,0,0,0,0,0,0,0,0,37,0
Interstitial macrophages,0,0,0,90,0,0,0,0,61,0,85,0,0,1,0,0,0,0,829,0,0,2,26,0,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,1,0,3,1,1,0,3,0,1,0,0,0,0,6,0,0,0,1352,1,0,0,0,0,0,0,0,1,3
NK cells,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,1,0,4,0,0,1,2,75,0,4,0,0,0,0,0,0,1,36,0,0,0,588,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0
Pericytes,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0
Plasma cells,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,217,0,1,1,1
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93,1,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,122,0,0
Suprabasal,1,0,0,0,0,73,0,0,1,49,3,1,0,0,0,0,9,36,0,1,0,0,0,0,1,0,0,0,0,608,0
Transitional Club-AT2,0,0,0,0,0,3,0,0,1,22,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,2,471
