,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,238,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,50,5,1,0,0,0,2,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,13,462,0,0,15,0,5,0,0,0,0,0
T-helper 22 cell,0,0,0,53,3,0,0,0,0,3,0,5,2
"central memory CD4-positive, alpha-beta T cell",0,0,2,21,65,1,3,1,0,0,0,24,6
"effector CD8-positive, alpha-beta T cell",0,0,13,1,1,119,11,9,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,3,0,4,122,19,1,19,0,0,13
gamma-delta T cell,0,0,7,6,5,10,6,29,0,8,0,9,1
mature NK T cell,3,0,4,1,0,14,1,2,94,0,0,2,0
mucosal invariant T cell,0,0,0,4,0,0,7,7,0,47,0,4,1
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,11,6,0,0,1,0,2,0,217,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,7,8,0,1,2,0,0,0,29,110
