,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,237,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,50,5,0,0,0,0,2,0,0,0,0,1
"CD16-positive, CD56-dim natural killer cell, human",0,5,477,0,0,9,0,2,2,0,0,0,0
T-helper 22 cell,0,0,0,49,5,0,0,3,0,3,0,4,2
"central memory CD4-positive, alpha-beta T cell",0,0,1,22,66,4,0,3,0,0,0,21,6
"effector CD8-positive, alpha-beta T cell",0,0,5,1,1,119,11,6,12,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,1,2,0,9,124,25,1,5,0,2,12
gamma-delta T cell,0,0,3,7,4,11,6,30,2,7,0,7,4
mature NK T cell,3,0,4,0,0,14,0,1,96,1,0,2,0
mucosal invariant T cell,0,0,0,6,0,0,6,13,0,41,0,4,0
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,13,11,0,0,1,0,3,0,214,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,9,1,3,2,0,1,0,26,109
