,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,299,0,0,0,0,0,0,0,4,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,41,9,0,0,1,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,197,0,0,35,2,4,2,0,0,0,0
T-helper 22 cell,0,0,0,75,25,0,1,2,0,1,0,1,2
"central memory CD4-positive, alpha-beta T cell",0,0,3,59,246,1,11,3,0,7,0,57,30
"effector CD8-positive, alpha-beta T cell",0,0,31,0,5,70,0,17,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,2,2,0,2,8,65,25,0,9,0,0,7
gamma-delta T cell,0,0,5,19,7,1,2,12,0,1,0,0,0
mature NK T cell,1,0,5,0,0,0,1,1,72,0,0,1,0
mucosal invariant T cell,0,0,0,14,0,0,6,15,0,40,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,189,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,1,21,0,0,0,0,1,0,202,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,21,19,0,5,0,0,0,0,12,102
