,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,296,0,0,0,0,0,0,0,7,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,6,38,0,3,2,0,0,0,0,0,3,0
"CD16-positive, CD56-dim natural killer cell, human",0,0,192,3,7,24,4,1,0,3,0,10,1
T-helper 22 cell,0,0,3,25,70,1,0,0,0,0,0,8,0
"central memory CD4-positive, alpha-beta T cell",0,0,21,47,252,0,0,0,0,1,0,91,5
"effector CD8-positive, alpha-beta T cell",0,0,83,2,6,24,5,0,0,1,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,2,56,6,37,5,5,0,0,0,0,8,1
gamma-delta T cell,0,0,14,7,18,3,0,0,0,0,0,4,1
mature NK T cell,3,0,4,0,2,2,0,0,70,0,0,0,0
mucosal invariant T cell,0,1,26,7,30,2,0,0,0,0,0,10,2
naive B cell,0,0,0,0,0,0,0,0,0,0,188,1,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,4,11,101,1,0,0,0,1,0,112,0
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,5,19,110,0,0,0,0,0,0,25,0
