,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,252,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,2,16,1,8,3,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,187,0,2,8,1,0,0,0,1,2,0
T-helper 22 cell,0,0,5,14,94,2,14,1,0,1,0,33,5
"central memory CD4-positive, alpha-beta T cell",0,0,3,16,183,0,6,2,0,0,0,26,0
"effector CD8-positive, alpha-beta T cell",0,0,23,0,3,12,7,0,0,0,0,7,0
"effector memory CD8-positive, alpha-beta T cell",0,1,17,8,7,3,10,1,0,2,0,7,2
gamma-delta T cell,0,0,32,1,9,26,11,0,0,0,0,24,0
mature NK T cell,3,0,5,0,0,2,0,0,53,0,0,1,0
mucosal invariant T cell,0,0,8,4,15,4,6,0,0,2,0,16,3
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,5,7,83,1,14,1,1,0,0,183,11
"naive thymus-derived CD8-positive, alpha-beta T cell",0,1,2,5,50,2,5,0,0,0,0,79,4
