,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,196,0,0,1,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,70,6,1,1,0,0,3,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,9,353,0,1,1,0,9,0,3,0,0,0
T-helper 22 cell,0,0,0,75,22,0,0,7,0,5,0,10,5
"central memory CD4-positive, alpha-beta T cell",0,0,1,23,94,3,0,5,1,4,0,29,5
"effector CD8-positive, alpha-beta T cell",0,0,0,0,0,184,10,10,4,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,7,75,5,0,4,0,1,11
gamma-delta T cell,0,1,4,11,6,6,8,55,1,8,0,7,2
mature NK T cell,2,0,3,0,1,14,4,1,75,0,0,1,0
mucosal invariant T cell,0,0,1,6,1,1,5,6,0,51,0,8,1
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,20,28,0,0,3,0,6,0,331,11
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,12,0,2,1,1,1,0,15,113
