,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,236,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,53,4,1,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,467,0,1,8,0,11,3,0,0,2,0
T-helper 22 cell,0,0,0,44,6,0,0,3,0,7,0,4,2
"central memory CD4-positive, alpha-beta T cell",0,0,1,19,67,2,2,1,0,2,0,24,5
"effector CD8-positive, alpha-beta T cell",0,0,1,1,2,113,20,9,8,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,10,1,10,128,8,0,10,0,1,13
gamma-delta T cell,0,0,1,6,4,5,4,41,1,8,0,8,3
mature NK T cell,2,0,2,2,1,9,5,0,99,0,0,1,0
mucosal invariant T cell,0,0,0,6,0,1,12,6,0,39,0,6,0
naive B cell,0,0,0,0,0,0,0,0,0,0,160,4,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,12,25,1,1,0,0,1,0,200,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,4,5,0,4,2,0,1,0,11,130
