,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,232,0,0,0,0,0,0,0,7,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,8,39,0,0,6,0,3,0,0,0,2,0
"CD16-positive, CD56-dim natural killer cell, human",0,20,350,1,1,98,3,7,0,4,1,9,1
T-helper 22 cell,0,0,1,12,13,2,12,4,0,0,0,21,1
"central memory CD4-positive, alpha-beta T cell",0,0,1,14,56,8,3,3,0,0,0,35,3
"effector CD8-positive, alpha-beta T cell",0,1,33,4,5,69,3,10,0,4,0,25,1
"effector memory CD8-positive, alpha-beta T cell",0,2,29,20,9,19,23,15,0,5,0,51,8
gamma-delta T cell,0,0,14,3,7,17,5,5,0,0,0,29,1
mature NK T cell,5,0,6,0,1,11,0,1,92,0,0,5,0
mucosal invariant T cell,0,0,5,12,5,6,12,0,0,1,0,29,0
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,3,8,28,5,9,2,0,1,0,185,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,1,14,22,1,7,0,0,1,0,108,3
