,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,236,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,52,6,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,10,471,0,0,10,0,4,0,0,0,0,0
T-helper 22 cell,0,0,0,49,5,0,1,1,0,2,0,5,3
"central memory CD4-positive, alpha-beta T cell",0,0,0,22,70,3,2,2,0,0,0,19,5
"effector CD8-positive, alpha-beta T cell",0,0,1,0,2,127,18,5,1,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,1,0,146,18,0,5,0,1,9
gamma-delta T cell,0,1,4,6,4,3,3,39,0,9,0,10,2
mature NK T cell,2,0,3,0,0,16,1,1,95,1,0,2,0
mucosal invariant T cell,0,0,0,4,0,0,5,5,0,52,0,4,0
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,11,0,0,1,0,0,0,221,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,12,0,2,2,0,0,0,15,121
