,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,252,0,0,1,0,0,0,0,0,0,0,1,0
"CD16-negative, CD56-bright natural killer cell, human",0,24,7,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,199,0,0,1,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,104,28,0,4,10,0,8,0,11,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,17,176,0,0,6,0,1,0,26,9
"effector CD8-positive, alpha-beta T cell",0,0,2,0,0,46,2,0,0,1,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,2,5,34,4,1,4,0,0,6
gamma-delta T cell,0,1,6,3,3,19,7,51,0,11,0,1,1
mature NK T cell,0,0,2,1,0,2,0,0,58,0,0,0,1
mucosal invariant T cell,0,0,0,8,0,0,10,7,0,31,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,28,0,0,3,0,3,0,259,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,4,0,3,1,0,1,0,5,129
