,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,253,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,26,5,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,200,0,0,0,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,91,50,0,5,5,0,7,0,9,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,5,218,0,1,0,0,0,0,5,7
"effector CD8-positive, alpha-beta T cell",0,0,1,0,0,49,2,0,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,2,8,39,4,0,1,0,0,3
gamma-delta T cell,0,0,2,5,1,39,19,19,0,16,0,1,1
mature NK T cell,0,0,0,0,0,7,1,0,56,0,0,0,0
mucosal invariant T cell,0,0,0,3,0,2,13,2,0,34,0,4,0
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,3,32,0,0,0,0,0,0,266,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,2,10,0,2,0,0,0,0,11,123
