,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,199,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,69,9,0,1,0,1,1,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,365,0,0,4,0,1,0,1,0,0,0
T-helper 22 cell,0,0,0,102,9,0,1,2,0,1,0,4,5
"central memory CD4-positive, alpha-beta T cell",0,0,1,20,113,5,0,2,0,2,0,17,5
"effector CD8-positive, alpha-beta T cell",0,0,5,0,1,178,5,19,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,1,0,2,3,74,4,0,3,0,0,17
gamma-delta T cell,0,1,8,10,5,8,18,47,0,5,1,5,1
mature NK T cell,5,0,1,0,0,21,1,2,69,0,0,2,0
mucosal invariant T cell,0,0,0,4,1,2,6,5,0,55,0,4,3
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,8,30,0,0,1,0,1,0,345,14
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,3,11,0,3,1,0,1,0,23,108
