,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,156,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,19,3,0,0,0,1,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,253,0,0,9,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,109,63,0,1,4,0,2,0,11,13
"central memory CD4-positive, alpha-beta T cell",0,0,1,14,123,2,4,3,0,0,0,21,6
"effector CD8-positive, alpha-beta T cell",0,0,9,1,0,101,6,0,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,1,0,0,1,3,101,6,0,5,0,0,12
gamma-delta T cell,0,1,3,19,17,3,5,15,0,5,0,6,0
mature NK T cell,1,0,5,0,0,11,3,0,62,0,0,0,0
mucosal invariant T cell,0,0,1,7,2,0,2,4,0,41,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,60,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,11,0,0,0,0,1,0,274,12
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,3,39,0,6,0,0,1,0,14,104
