,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,298,0,0,0,0,0,0,0,3,0,0,1,1
"CD16-negative, CD56-bright natural killer cell, human",0,42,7,0,2,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,209,0,3,11,0,15,3,0,0,0,1
T-helper 22 cell,0,0,0,64,24,0,2,7,0,4,0,3,3
"central memory CD4-positive, alpha-beta T cell",0,0,0,41,284,0,3,13,0,4,0,43,29
"effector CD8-positive, alpha-beta T cell",0,0,0,4,7,89,4,16,1,2,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,4,1,8,71,20,0,9,0,0,7
gamma-delta T cell,0,0,2,14,4,0,1,24,0,1,0,0,1
mature NK T cell,1,0,3,1,0,1,0,1,73,0,0,1,0
mucosal invariant T cell,0,0,0,11,0,0,12,12,0,37,0,6,0
naive B cell,0,0,0,0,5,0,0,0,0,0,184,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,28,0,2,3,0,1,0,186,8
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,7,3,0,5,4,0,0,0,9,131
