,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,298,0,0,0,0,0,0,0,5,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,7,0,0,1,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,6,217,0,0,4,0,8,10,0,0,0,0
T-helper 22 cell,0,0,0,70,24,0,1,2,0,5,0,2,3
"central memory CD4-positive, alpha-beta T cell",0,0,0,60,243,2,10,3,1,9,0,64,25
"effector CD8-positive, alpha-beta T cell",0,0,1,0,8,76,0,38,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,8,71,28,0,8,0,0,5
gamma-delta T cell,0,0,2,18,4,1,0,19,0,3,0,0,0
mature NK T cell,1,0,2,0,0,2,1,1,73,0,0,1,0
mucosal invariant T cell,0,0,0,8,0,0,7,10,0,50,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,189,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,0,20,0,0,0,0,1,0,206,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,12,12,0,7,1,0,0,0,13,114
