,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,157,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,0,18,0,4,1,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,222,1,18,11,3,0,0,1,0,5,0
T-helper 22 cell,0,1,9,36,86,2,21,0,0,0,0,43,5
"central memory CD4-positive, alpha-beta T cell",0,0,8,13,116,3,2,0,0,0,0,30,2
"effector CD8-positive, alpha-beta T cell",0,0,26,1,2,41,5,4,0,2,0,36,0
"effector memory CD8-positive, alpha-beta T cell",0,0,26,9,14,9,24,4,0,8,0,32,3
gamma-delta T cell,0,0,5,5,33,9,4,2,0,0,0,16,0
mature NK T cell,8,0,6,0,0,3,1,0,55,1,0,8,0
mucosal invariant T cell,0,0,5,9,11,7,13,0,0,3,0,12,0
naive B cell,0,0,0,0,0,0,0,0,0,0,60,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,10,4,74,2,24,0,0,2,0,173,11
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,5,13,82,0,18,0,0,0,0,44,5
