,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,298,0,0,0,0,0,0,0,5,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,45,6,0,0,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,195,0,0,40,2,1,2,0,0,0,1
T-helper 22 cell,0,0,0,78,21,0,2,0,0,3,0,2,1
"central memory CD4-positive, alpha-beta T cell",0,0,0,63,255,4,11,5,0,6,0,55,18
"effector CD8-positive, alpha-beta T cell",0,0,4,0,3,90,1,22,2,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,8,64,32,2,8,0,3,3
gamma-delta T cell,1,1,4,19,4,3,4,9,0,1,0,0,1
mature NK T cell,1,0,4,0,0,1,0,1,73,0,0,1,0
mucosal invariant T cell,0,0,1,13,1,0,12,17,0,30,0,3,1
naive B cell,0,0,0,0,0,0,0,0,0,0,189,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,3,20,0,0,0,0,2,0,190,15
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,37,13,0,5,2,0,0,0,16,86
