,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,254,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,26,5,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,201,0,0,0,0,0,0,0,0,0,0
T-helper 22 cell,0,0,0,92,55,0,5,1,0,5,0,10,1
"central memory CD4-positive, alpha-beta T cell",0,0,0,3,219,0,1,0,0,0,0,7,6
"effector CD8-positive, alpha-beta T cell",0,0,1,0,0,48,2,0,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,4,6,38,5,0,1,0,0,3
gamma-delta T cell,0,0,6,5,1,15,7,46,0,21,0,1,1
mature NK T cell,1,0,0,0,1,6,1,0,55,0,0,0,0
mucosal invariant T cell,0,0,0,3,3,2,5,3,0,38,0,3,1
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,32,0,0,0,0,0,0,268,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,1,11,0,2,0,0,0,0,11,123
