gene
HES4
ISG15
TNFRSF18
TNFRSF4
MMP23B
RBP7
AL021155.5
CROCC
PADI4
CDA
C1QA
C1QB
ID3
STMN1
ZNF683
IFI6
CSF3R
ARMH1
PTCH2
SLC1A7
JUN
PDE4B
IL12RB2
NEGR1
ST6GALNAC3
AK5
AC103591.3
IFI44L
LINC01781
HFM1
TGFBR3
DPYD
GSTM2
RHOC
AC253572.2
AC245014.3
CD160
AC239799.2
ADAMTSL4-AS1
CTSS
AL450992.3
S100A11
S100A9
S100A12
S100A8
S100A6
S100A4
LMNA
SH2D2A
FCRL5
FCRL3
FCRL2
FCRL1
CD1C
MNDA
PYHIN1
FCER1A
FCRL6
FCER1G
FCGR3A
FCRLA
SH2D1B
CD247
XCL2
XCL1
SELL
BX284613.2
CLEC20A
RALGPS2
ANGPTL1
NCF2
C1orf21
PTGS2
RGS1
RGS2
AL136456.1
MIR181A1HG
RHEX
G0S2
ATF3
FAM177B
RGS7
NLRP3
LINC01871
LINC00299
ID2
RRM2
FAM49A
RHOB
CYP1B1
SLC8A1
AC010967.1
BCL11A
PELI1
DYSF
GNLY
CD8A
CD8B
LINC01943
IGKC
IGKV4-1
IGKV5-2
IGKV7-3
IGKV1-5
IGKV1-6
IGKV3-7
IGKV1-8
IGKV1-9
IGKV3-11
IGKV1-12
IGKV3-15
IGKV1-16
IGKV1-17
IGKV3-20
IGKV6-21
IGKV2-24
IGKV2-26
IGKV1-27
IGKV2-28
IGKV2-29
IGKV2-30
IGKV1-33
IGKV1-37
IGKV1-39
IGKV2D-40
IGKV1D-39
IGKV1D-33
IGKV2D-30
IGKV2D-29
IGKV2D-28
IGKV3D-20
IGKV1D-16
IGKV3D-15
IGKV1D-13
IGKV3D-11
IGKV1D-43
IGKV1D-8
MAL
DUSP2
AFF3
TBC1D8
IL1R2
IL18RAP
IL1B
IL1RN
AC012447.1
AC011246.1
KYNU
ZEB2
TNFAIP6
FMNL2
CD302
SLC4A10
COBLL1
AC019197.1
SLC38A11
SCN3A
TTN
LINC01934
ZNF804A
CAVIN2
CTLA4
ICOS
LINC01857
AC093865.1
IKZF2
CXCR2
SLC11A1
CYP27A1
CCL20
PID1
ITM2C
B3GNT7
NMUR1
RAMP1
PASK
ATG7
COLQ
KCNH8
SGO1-AS1
UBE2E2
CMC1
RBMS3
OSBPL10
LINC01811
CX3CR1
ABHD5
STAB1
TKT
DNASE1L3
FHIT
FRMD4B
PROK2
LINC00877
NFKBIZ
CD200
TIGIT
EAF2
CD86
CSTA
BFSP2
CHST2
P2RY14
PTX3
PPM1L
SPTSSB
WDR49
FNDC3B
UTS2B
CCDC50
HES1
ZDHHC19
SPON2
LYAR
CYTL1
S100P
CD38
FGFBP2
LDB2
DTHD1
RBM47
HOPX
SPINK2
IGFBP7
JCHAIN
RASSF6
CXCL8
PPBP
CXCL3
CXCL2
EREG
AREG
CXCL10
RASGEF1B
WDFY3
ARHGAP24
CCSER1
BANK1
SGMS2
LEF1
MAML3
INPP4B
AC139720.1
FAM160A1
TLR2
FAM198B-AS1
MARCH1
GALNTL6
GPM6A
ACSL1
AC084871.1
MIR3945HG
SORBS2
BASP1
C5orf17
IL7R
DAB2
GZMK
GZMA
PDE4D
ZSWIM6
NAIP
F2R
VCAN
VCAN-AS1
MEF2C
MEF2C-AS1
LINC02161
LUCAT1
MCTP1
RHOBTB3
LIX1-AS1
MARCH3
CHSY3
TCF7
EGR1
MZB1
NRG2
HBEGF
CD14
ARHGAP26
CSF1R
CD74
SGCD
ADAM19
EBF1
HK3
SCGB3A1
IRF4
F13A1
TXNDC5
TMEM170B
PHACTR1
CD83
AL138720.1
JARID2
KIF13A
RNF144B
SOX4
HIST1H1D
HIST1H2AI
IER3
TNF
LTB
LST1
NCR3
AIF1
TSBP1-AS1
HLA-DRA
HLA-DRB5
HLA-DRB1
HLA-DQA1
HLA-DQB1
HLA-DOB
HLA-DMA
HLA-DPA1
HLA-DPB1
CDKN1A
TREM1
PTCRA
KHDRBS2
ADGRB3
COL19A1
KCNQ5
BACH2
CD24
FOXO3
MARCKS
CALHM6
PTPRK
VNN1
VNN3
RPS12
SGK1
PDE7B
STX11
RAB32
SASH1
PLEKHG1
AL589693.1
AL078604.4
SOD2
QKI
SDK1
ACTB
AC011287.1
TSPAN13
AHR
AC073332.1
HDAC9
IL6
CREB5
CPVL
AOAH
GPR141
EPDR1
TRGC1
TRGV11
TRGV10
TRGV9
TRGV8
TRGV7
TRGV5
TRGV4
TRGV3
TRGV2
NCF1
FGL2
CD36
CDK14
PEG10
PPP1R9A
BRI3
STAG3
PILRA
SERPINE1
NAMPT
DOCK4
CPA5
TBXAS1
MGAM
TRBV2
TRBV3-1
TRBV4-1
TRBV5-1
TRBV6-1
TRBV4-2
TRBV6-2
TRBV7-2
TRBV6-4
TRBV7-3
TRBV9
TRBV10-1
TRBV11-1
TRBV10-2
TRBV11-2
TRBV12-2
TRBV6-5
TRBV7-4
TRBV5-4
TRBV6-6
TRBV7-5
TRBV5-5
TRBV7-6
TRBV5-6
TRBV7-7
TRBV7-9
TRBV13
TRBV10-3
TRBV11-3
TRBV12-3
TRBV12-4
TRBV12-5
TRBV14
TRBV15
TRBV16
TRBV18
TRBV19
TRBV20-1
TRBV21-1
TRBV23-1
TRBV24-1
TRBV25-1
TRBV27
TRBV28
TRBV29-1
TRBC1
TRBV30
CNTNAP2
LINC00996
TMEM176B
TMEM176A
VIPR2
MYOM2
BLK
AC021613.1
ADAM28
AC120193.1
NEFL
DOCK5
PNOC
DUSP4
NRG1
RAB11FIP1
PLPP5
ZMAT4
CEBPD
LYN
TOX
AC083837.1
SDC2
NCALD
AZIN1-AS1
TRPS1
EXT1
AC023590.1
MTSS1
TRIB1
CCDC26
ZFAT
LYPD2
BNC2
C9orf72
LINGO2
AQP3
CD72
RMRP
TPM2
RECK
PAX5
AL161781.2
ALDH1A1
GNAQ
CEP78
GADD45G
SYK
ABCA1
LINC01505
KLF4
PALM2-AKAP2
UGCG
MEGF9
DENND1A
MIR181A2HG
FCN1
PTGDS
LCNL1
CLIC3
LRRC26
AKR1C3
AL392086.3
VIM
ST8SIA6
PLXDC2
OTUD1
AL512603.2
ITGB1
NRP1
WDFY4
RTKN2
EGR2
COL13A1
PRF1
PSAP
ADK
LRMDA
PAPSS2
IFIT2
LINC01374
BLNK
RRP12
TCF7L2
ADAM12
PTPRE
MKI67
IFITM2
IFITM1
IFITM3
IRF7
SCT
ASCL2
CDKN1C
SWAP70
SBF2
C11orf96
SPI1
AP001636.3
FAM111B
MPEG1
MS4A6A
MS4A7
MS4A1
FTH1
PPP1R14B
NEAT1
CTSW
FOLR3
FCHSD2
GAB2
DLG2
PICALM
PRSS23
DISC1FP1
BIRC3
PDGFD
POU2AF1
NCAM1
CADM1
FXYD2
CXCR5
GRIK4
NRGN
FEZ1
APLP2
PTMS
CLEC4C
SLC2A3
LINC00937
CLEC4E
KLRG1
PZP
KLRB1
CD69
KLRF1
CLEC12A
CLEC7A
OLR1
KLRD1
KLRK1
KLRC4
KLRC3
KLRC2
KLRC1
LINC02446
YBX3
ETV6
EMP1
PLBD1
MGST1
PDE3A
SOX5
SSPN
DENND5B
FGD4
LRRK2
NELL2
AC008014.1
NR4A1
KRT86
LRP1
IRAK3
IFNG-AS1
IFNG
LYZ
AC020656.1
SYT1
TMTC2
DUSP6
ATP2B1
ATP2B1-AS1
LINC02397
CRADD
HVCN1
ALDH2
MED13L
BCL7A
HCAR2
HCAR3
RILPL2
GLT1D1
FRY
RGCC
RUBCNL
PCDH9
DACH1
AL590807.1
AL162493.1
GPR183
TNFSF13B
AL163541.1
AL355075.4
ARHGEF40
TRAV1-1
TRAV1-2
TRAV2
TRAV3
TRAV4
TRAV5
TRAV6
TRAV8-1
TRAV10
TRAV12-1
TRAV8-2
TRAV8-3
TRAV13-1
TRAV12-2
TRAV8-4
TRAV8-5
TRAV13-2
TRAV14DV4
TRAV9-2
TRAV12-3
TRAV8-6
TRAV16
TRAV17
TRAV19
TRAV20
TRAV21
TRAV22
TRAV23DV6
TRDV1
TRAV24
TRAV25
TRAV26-1
TRAV27
TRAV29DV5
TRAV30
AC244502.1
TRAV26-2
TRAV35
TRAV36DV7
TRAV38-1
TRAV38-2DV8
TRAV39
TRAV40
TRAV41
TRDV2
TRDJ1
TRDC
TRDV3
GZMH
GZMB
COCH
AKAP6
NFKBIA
PTGDR
LGALS3
AL158801.2
RTN1
SIPA1L1
NPC2
AL691403.1
FOS
LINC01146
SLC24A4
IFI27
SERPINA1
GSC
TCL6
TCL1B
TCL1A
AL139020.1
WARS
MEG3
TNFAIP2
CKB
PLD4
CRIP2
CRIP1
IGHA2
IGHE
IGHG2
COPDA1
IGHA1
IGHG1
IGHG3
IGHD
IGHM
AC246787.2
FAM30A
IGHV6-1
IGHV1-2
IGHV1-3
IGHV4-4
IGHV7-4-1
IGHV2-5
IGHV3-7
IGHV3-64D
IGHV5-10-1
IGHV3-11
IGHV3-13
IGHV3-15
IGHV1-17
IGHV1-18
IGHV3-20
IGHV3-21
IGHV3-23
IGHV1-24
IGHV2-26
IGHV4-28
IGHV3-30
IGHV4-31
IGHV3-33
IGHV4-34
IGHV4-39
IGHV3-43
IGHV1-46
IGHV3-48
IGHV3-49
IGHV5-51
IGHV3-53
IGHV4-55
IGHV1-58
IGHV4-59
IGHV4-61
IGHV3-64
IGHV3-66
IGHV1-69
IGHV2-70D
IGHV1-69D
IGHV2-70
IGHV3-72
IGHV3-73
IGHV3-74
IGHV5-78
IGHV7-81
LINC02694
AC013652.1
THBS1
ATP8B4
DMXL2
LINC00926
ALDH1A2
AQP9
PCLAF
NEIL1
BCL2A1
ANPEP
SLCO3A1
HBA1
HBQ1
IL32
AC133065.1
CPPED1
ACSM3
IGSF6
IL4R
CD19
CES1
MT2A
ADGRG1
KIFC3
CMTM2
RRAD
ZDHHC1
SMPD3
WWOX
COTL1
IRF8
FAM157C
SERPINF1
P2RX5
VMO1
CLEC10A
ASGR1
CD68
TMEM107
GAS7
RASD1
LGALS9C
AC007952.4
CCL5
AC243829.4
CCL3
CCL4
AC243829.2
CCL3L1
CCL4L2
IGFBP4
CCR7
CCDC200
LINC00910
GRN
TBX21
AC015912.3
TEX14
VMP1
CD79B
PECAM1
CD300E
PDE6G
CD7
TYMS
EMILIN2
DLGAP1
EPB41L3
PTPRM
RAB31
KLHL14
LINC01478
TCF4
SERPINB2
GTSCR1
NETO1
PRSS57
CFD
GNG7
MATK
PTPRS
RFX2
CD70
STXBP2
RETN
MCEMP1
FCER2
PRAM1
ICAM1
S1PR5
JUNB
AC020916.1
ADGRE2
NIBAN3
IFI30
LRRC25
SCGB2B2
FXYD7
CD22
TYROBP
PPP1R14A
ZFP36
PLEKHG2
BLVRB
CD79A
AC005392.2
PLAUR
FOSB
AC007785.1
C5AR1
FTL
CD37
FCGRT
IL4I1
SPIB
KLK1
SIGLEC7
NKG7
FPR1
ZNF331
PRKCG
LILRB2
LILRA5
LILRA4
LAIR2
KIR2DL3
KIR2DL1
KIR2DL4
KIR3DL1
KIR3DL2
FCAR
NCR1
PLCB1
LAMP5
MACROD2
RIN2
CST3
CST7
ID1
HCK
MAFB
MYBL2
PKIG
CD40
SULF2
SMIM25
KCNG1
TSHZ2
MIR646HG
FP671120.4
FP236383.3
SAMSN1
APP
ADAMTS1
AF165147.1
MX1
AIRE
COL6A2
S100B
IGLVI-70
IGLV4-69
IGLV10-54
IGLV8-61
IGLV4-60
IGLV6-57
IGLV1-51
IGLV9-49
IGLV5-48
IGLV1-47
IGLV7-46
IGLV5-45
IGLV1-44
IGLV7-43
IGLV1-41
IGLV1-40
IGLV5-37
IGLV1-36
IGLV3-27
IGLV3-25
IGLV2-23
IGLV3-21
IGLV3-19
IGLV2-18
IGLV3-16
IGLV2-14
IGLV2-11
IGLV3-10
IGLV3-9
IGLV2-8
IGLV2-5
IGLV4-3
IGLV3-1
IGLC1
IGLJ2
IGLC2
IGLC3
IGLC6
IGLC7
VPREB3
DERL3
KIAA1671
OSM
SYN3
LARGE1
HMOX1
IL2RB
LGALS2
LGALS1
H1F0
APOBEC3A
SYNGR1
TNFRSF13C
Z93241.1
TSPO
TTC38
TYMP
CSF2RA
IL3RA
AP1S2
SAT1
GK
CYBB
AC108879.1
PPP1R2C
MIR222HG
TIMP1
CFP
PCSK1N
FOXP3
DGKK
AL050309.1
FAAH2
EDA
HMGN5
DIAPH2
LINC00892
TKTL1
TTTY14
MT-CO1
MT-ND6
AC233755.2
AC233755.1
