,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,7,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,305,0,0,9,2,0,0,0,0,0,0
T-helper 22 cell,0,0,0,84,35,0,2,2,0,2,0,8,1
"central memory CD4-positive, alpha-beta T cell",0,0,0,24,156,2,3,3,0,1,0,26,8
"effector CD8-positive, alpha-beta T cell",0,0,2,0,1,122,2,2,2,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,1,7,79,15,1,6,0,2,5
gamma-delta T cell,0,1,4,7,6,10,9,32,1,9,0,3,1
mature NK T cell,2,0,4,0,0,10,1,2,69,0,0,2,0
mucosal invariant T cell,0,0,0,3,0,2,4,9,0,45,0,5,1
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,27,0,0,1,0,1,0,251,11
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,18,0,4,2,0,2,0,18,106
