,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,228,0,0,0,0,0,1,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,6,0,0,0,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,2,297,0,0,13,3,1,1,0,0,0,0
T-helper 22 cell,0,0,0,91,21,0,2,5,0,4,0,7,4
"central memory CD4-positive, alpha-beta T cell",0,0,0,23,151,2,4,2,0,1,0,27,13
"effector CD8-positive, alpha-beta T cell",0,0,7,0,1,113,5,5,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,1,0,1,2,5,82,8,0,10,0,0,9
gamma-delta T cell,0,1,7,9,5,10,9,27,1,8,0,4,2
mature NK T cell,1,0,2,0,0,14,1,2,69,0,0,1,0
mucosal invariant T cell,0,1,1,0,0,1,6,9,0,46,0,5,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,4,13,0,0,2,0,1,0,264,12
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,16,0,4,2,0,1,0,21,106
