,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,222,0,0,2,0,0,0,0,3,0,0,4,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,6,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,302,0,1,5,1,4,1,0,0,1,1
T-helper 22 cell,0,0,0,88,18,0,3,4,0,10,0,9,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,27,147,2,0,5,1,1,0,27,13
"effector CD8-positive, alpha-beta T cell",0,0,1,0,2,111,10,3,3,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,1,8,77,10,0,10,0,0,10
gamma-delta T cell,0,0,3,9,5,2,9,43,0,6,0,5,1
mature NK T cell,0,0,2,0,0,8,2,3,74,0,0,1,0
mucosal invariant T cell,0,0,1,5,0,0,7,6,0,44,0,6,0
naive B cell,0,0,0,0,2,0,0,0,0,0,122,1,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,27,0,0,5,0,1,0,246,10
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,2,12,0,5,2,0,2,0,5,128
