,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,231,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,38,7,0,2,1,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,294,0,0,15,0,3,0,0,0,0,0
T-helper 22 cell,0,0,0,92,25,0,1,3,0,3,0,5,5
"central memory CD4-positive, alpha-beta T cell",0,0,2,25,140,2,6,2,0,4,0,31,11
"effector CD8-positive, alpha-beta T cell",0,0,10,1,0,109,4,7,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,1,0,1,8,84,11,0,4,0,0,9
gamma-delta T cell,0,0,3,17,11,8,12,20,0,8,0,4,0
mature NK T cell,1,0,1,0,0,10,2,0,76,0,0,0,0
mucosal invariant T cell,0,0,0,6,0,2,4,4,0,51,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,3,29,0,0,1,0,1,0,259,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,19,0,7,0,0,1,0,18,106
