,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,231,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,39,7,0,0,1,0,1,0,0,0,0,1
"CD16-positive, CD56-dim natural killer cell, human",0,4,300,0,0,8,0,3,1,0,0,0,1
T-helper 22 cell,0,0,0,81,34,0,4,1,0,4,0,7,3
"central memory CD4-positive, alpha-beta T cell",0,0,1,21,160,4,4,2,0,2,0,25,4
"effector CD8-positive, alpha-beta T cell",0,0,5,0,0,117,4,1,3,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,10,83,16,1,3,0,0,5
gamma-delta T cell,1,0,5,17,9,4,13,26,0,3,0,3,2
mature NK T cell,1,0,1,0,0,9,2,0,77,0,0,0,0
mucosal invariant T cell,0,0,0,8,1,1,6,10,0,39,0,3,1
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,32,0,1,0,0,3,0,245,8
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,9,17,0,4,3,0,1,0,18,104
