,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,236,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,49,8,1,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,8,474,0,0,8,0,4,1,0,0,0,0
T-helper 22 cell,0,0,0,51,6,0,0,0,0,2,0,3,4
"central memory CD4-positive, alpha-beta T cell",0,0,0,19,72,3,2,1,1,0,0,18,7
"effector CD8-positive, alpha-beta T cell",0,0,3,1,1,130,16,3,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,3,0,2,147,10,1,7,0,1,10
gamma-delta T cell,0,0,4,5,7,8,8,31,0,7,0,9,2
mature NK T cell,2,0,3,1,1,16,1,0,95,0,0,2,0
mucosal invariant T cell,0,0,0,3,0,0,10,4,0,47,0,5,1
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,8,10,0,0,0,0,1,0,212,12
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,1,9,0,3,3,0,1,0,16,124
