,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,238,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,50,5,0,2,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,13,464,0,0,13,0,5,0,0,0,0,0
T-helper 22 cell,0,0,0,48,10,0,0,0,0,3,0,3,2
"central memory CD4-positive, alpha-beta T cell",0,0,2,13,78,1,3,0,0,0,0,22,4
"effector CD8-positive, alpha-beta T cell",0,0,15,1,1,125,11,2,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,5,4,123,16,1,17,0,0,13
gamma-delta T cell,0,0,9,5,9,10,5,27,0,8,0,7,1
mature NK T cell,4,0,4,0,0,14,1,2,93,1,0,2,0
mucosal invariant T cell,0,0,0,4,0,0,7,6,0,48,0,4,1
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,11,12,0,0,1,0,1,0,213,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,18,0,2,1,0,1,0,24,105
