,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,199,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,73,4,1,2,0,0,1,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,365,0,1,1,0,3,0,1,0,0,0
T-helper 22 cell,0,0,0,81,21,0,0,4,0,5,0,11,2
"central memory CD4-positive, alpha-beta T cell",0,0,2,16,103,4,0,1,0,6,0,29,4
"effector CD8-positive, alpha-beta T cell",0,0,0,0,0,193,9,4,1,0,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,0,4,73,7,0,6,0,1,12
gamma-delta T cell,0,0,4,9,5,4,8,53,3,13,0,7,3
mature NK T cell,2,0,0,0,1,19,1,3,74,0,0,1,0
mucosal invariant T cell,0,0,1,3,1,1,3,8,0,52,0,9,2
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,15,32,0,0,3,0,1,0,337,11
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,7,9,0,1,4,1,1,0,19,108
