,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,231,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,41,7,0,0,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,8,301,0,0,2,0,3,3,0,0,0,0
T-helper 22 cell,0,0,0,97,21,0,3,1,0,3,0,6,3
"central memory CD4-positive, alpha-beta T cell",0,0,1,26,154,3,5,2,0,3,0,21,8
"effector CD8-positive, alpha-beta T cell",0,0,2,1,0,117,4,6,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,7,89,9,0,3,0,0,9
gamma-delta T cell,0,0,3,19,6,3,9,35,0,4,0,4,0
mature NK T cell,1,0,0,0,0,11,1,1,76,0,0,0,0
mucosal invariant T cell,0,0,0,4,1,1,6,4,0,51,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,3,25,0,0,1,0,4,0,261,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,3,17,0,8,0,0,1,0,18,109
