,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Adventitial fibroblasts,0,398,19,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,49,0,1,0,0,0,0,0
Alveolar fibroblasts,0,6,210,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,1,0
Alveolar macrophages,0,3,0,764,0,0,1,0,5,1,11,0,0,0,1,1,0,0,80,0,0,0,4,0,0,0,1,0,0,0,1
B cells,0,0,0,1,442,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,0,512,1,4,1,13,2,0,0,1,0,0,3,10,0,0,8,1,0,0,0,0,0,1,0,70,9
CD4 T cells,0,2,0,0,3,1,796,75,1,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0
CD8 T cells,0,0,0,2,2,0,106,758,0,0,2,0,0,1,0,0,0,0,0,0,0,63,2,0,0,0,0,0,0,0,0
Classical monocytes,0,0,0,11,0,0,1,0,982,0,42,0,1,0,0,2,1,0,70,0,0,1,62,0,0,0,0,0,0,1,0
Club,0,0,0,0,0,3,1,0,0,467,0,2,0,0,0,0,131,2,0,0,0,0,1,0,0,0,3,1,0,47,19
DC2,0,0,0,21,1,2,0,3,49,1,934,0,0,0,0,2,1,0,84,0,0,0,7,0,0,0,0,0,0,0,1
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,269,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EC general capillary,0,0,0,0,0,1,0,0,2,0,0,0,15,327,6,55,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
EC venous pulmonary,0,1,0,1,0,0,0,0,1,0,0,1,0,16,331,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,0,0,2,0,0,2,21,39,568,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Goblet,0,0,0,0,0,0,1,0,0,131,0,0,0,0,1,0,583,2,0,0,9,1,0,0,0,0,4,0,0,25,19
Hillock-like,0,0,0,0,0,16,0,0,0,15,2,0,0,0,0,0,1,159,0,0,0,0,0,0,0,0,1,0,0,52,0
Interstitial macrophages,0,0,0,89,0,0,1,1,78,0,92,0,0,1,0,1,0,0,736,0,0,1,30,0,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,66,1,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,0,0,6,0,0,2,3,1,14,0,0,0,1,16,1,0,0,1220,3,0,0,0,0,0,0,0,2,1
NK cells,0,0,0,1,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,475,1,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,13,0,0,1,0,84,0,23,0,0,0,0,0,0,1,36,0,0,0,628,0,0,0,0,0,0,0,1
Peribronchial fibroblasts,0,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0
Pericytes,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
Plasma cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,375,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,240,4,30,1,10
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,225,0,0,0
SMG serous,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,222,1,1
Suprabasal,0,0,0,1,0,88,1,1,3,76,2,3,0,0,0,1,16,30,0,0,3,5,0,0,0,0,0,0,0,502,5
Transitional Club-AT2,1,0,0,0,0,1,0,1,0,9,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,249
