,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,6,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,2,308,0,0,3,0,2,2,0,0,0,0
T-helper 22 cell,0,0,0,103,17,0,0,1,0,4,0,7,2
"central memory CD4-positive, alpha-beta T cell",0,0,1,20,158,1,5,1,0,2,0,32,3
"effector CD8-positive, alpha-beta T cell",0,0,2,1,0,114,6,7,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,3,5,88,9,0,6,0,1,6
gamma-delta T cell,0,0,4,8,15,4,6,31,1,12,0,2,0
mature NK T cell,2,0,1,0,0,17,3,1,66,0,0,0,0
mucosal invariant T cell,0,0,0,4,2,1,4,5,0,47,0,6,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,22,0,0,2,0,0,0,263,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,2,9,0,4,1,0,0,0,22,118
