,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,5,0,1,0,1,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,6,295,0,0,10,2,3,1,0,0,0,0
T-helper 22 cell,0,0,0,96,23,0,1,3,0,7,0,2,2
"central memory CD4-positive, alpha-beta T cell",0,0,2,23,137,0,5,1,0,1,0,45,9
"effector CD8-positive, alpha-beta T cell",0,0,6,1,0,110,4,10,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,7,5,83,8,0,6,0,0,9
gamma-delta T cell,0,0,4,12,10,11,9,27,0,8,0,2,0
mature NK T cell,2,0,2,0,0,17,3,0,66,0,0,0,0
mucosal invariant T cell,0,0,0,6,2,1,6,7,0,45,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,4,25,0,1,2,0,0,0,259,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,11,0,2,0,0,0,0,22,116
