,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,227,0,0,2,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,45,3,0,0,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,303,0,0,5,0,4,0,1,0,0,1
T-helper 22 cell,0,0,0,88,21,0,2,7,0,6,0,6,4
"central memory CD4-positive, alpha-beta T cell",0,0,0,24,151,0,2,4,1,2,0,33,6
"effector CD8-positive, alpha-beta T cell",0,0,0,1,0,116,7,4,3,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,1,6,86,8,0,8,0,1,6
gamma-delta T cell,0,0,2,8,11,5,4,41,1,7,0,2,2
mature NK T cell,2,0,5,1,0,8,5,0,69,0,0,0,0
mucosal invariant T cell,0,0,0,9,1,0,6,5,0,40,0,8,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,9,26,0,0,2,0,2,0,250,7
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,8,0,5,1,0,0,0,9,128
