,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AT2,6,923,0,4,0,0,0,1,0,0,0,0,0,1,1,9,1,0
B cell lineage,0,0,466,2,46,0,1,0,1,1,1,2,0,1,0,0,0,18
Basal,0,0,1,727,2,0,0,0,0,0,0,1,0,3,1,73,2,2
Dendritic cells,1,1,30,0,923,0,0,0,0,0,0,95,0,82,1,0,0,3
EC arterial,0,0,0,0,0,350,87,114,0,0,2,0,0,1,0,0,0,1
EC capillary,0,0,1,0,0,47,442,24,1,0,0,0,0,1,0,0,0,1
EC venous,0,0,2,1,0,126,61,758,1,0,2,0,0,1,1,2,1,0
Fibroblasts,0,0,0,1,0,2,0,0,857,0,1,1,0,0,0,0,1,0
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,89
Lymphatic EC mature,0,0,0,0,0,0,2,2,0,0,251,0,0,0,0,0,0,0
Macrophages,0,1,3,0,104,1,3,0,1,0,0,899,0,163,0,2,0,0
Mast cells,0,0,0,0,0,0,0,0,0,1,0,1,579,1,0,0,0,0
Monocytes,0,1,1,0,16,0,1,0,0,0,0,88,0,1135,0,0,3,0
Multiciliated lineage,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1252,24,1,0
Secretory,5,14,1,68,0,0,0,0,0,0,0,1,0,0,6,995,29,0
Submucosal Secretory,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,149,251,2
T cell lineage,0,5,35,0,2,0,3,0,0,100,0,5,2,3,0,0,0,931
