,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,229,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,4,0,0,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,294,0,0,16,1,3,0,0,0,0,0
T-helper 22 cell,0,0,0,83,32,0,3,4,0,3,0,6,3
"central memory CD4-positive, alpha-beta T cell",0,0,0,19,167,2,3,1,0,2,0,23,6
"effector CD8-positive, alpha-beta T cell",0,0,8,0,1,110,3,8,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,1,1,0,1,3,92,3,0,5,0,0,12
gamma-delta T cell,0,1,2,13,11,9,8,28,0,9,1,1,0
mature NK T cell,2,0,2,0,0,7,1,2,75,0,0,1,0
mucosal invariant T cell,0,0,0,4,1,1,6,11,0,44,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,16,0,1,0,0,2,0,266,9
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,9,20,0,3,0,0,0,0,16,108
