,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,48,1,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,2,302,0,2,3,0,5,1,0,0,1,1
T-helper 22 cell,0,0,0,74,28,0,7,4,0,8,0,8,5
"central memory CD4-positive, alpha-beta T cell",0,0,0,22,158,0,2,6,0,2,0,27,6
"effector CD8-positive, alpha-beta T cell",0,0,2,1,0,114,9,3,1,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,7,89,4,0,10,0,0,8
gamma-delta T cell,0,0,1,15,7,2,4,40,1,7,0,4,2
mature NK T cell,3,0,0,0,0,5,2,0,78,0,0,2,0
mucosal invariant T cell,0,0,0,11,0,1,8,6,0,38,0,5,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,10,26,0,0,6,0,1,0,248,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,6,0,6,2,0,0,0,12,125
