,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,5,0,0,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,306,0,0,8,0,1,0,0,0,0,1
T-helper 22 cell,0,0,0,80,35,0,3,3,0,4,0,8,1
"central memory CD4-positive, alpha-beta T cell",0,0,0,15,171,1,4,1,0,2,0,23,6
"effector CD8-positive, alpha-beta T cell",0,0,4,0,0,116,3,4,4,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,1,9,85,9,0,6,0,2,5
gamma-delta T cell,1,1,1,13,9,8,12,31,0,5,0,1,1
mature NK T cell,3,0,2,0,0,9,0,1,74,0,0,1,0
mucosal invariant T cell,0,0,0,5,1,1,7,6,0,45,0,2,2
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,26,0,1,1,0,5,0,245,13
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,12,19,0,3,0,0,1,0,15,106
