,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,197,0,0,1,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,70,6,1,1,0,0,3,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,10,351,0,2,1,0,9,0,3,0,0,0
T-helper 22 cell,0,0,0,75,21,0,0,7,0,6,0,10,5
"central memory CD4-positive, alpha-beta T cell",0,0,1,24,94,3,0,5,1,4,0,28,5
"effector CD8-positive, alpha-beta T cell",0,0,0,0,0,182,11,10,4,0,0,0,2
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,7,75,5,0,4,0,1,11
gamma-delta T cell,0,1,4,12,5,7,8,54,0,8,0,7,3
mature NK T cell,2,0,3,0,1,14,4,1,75,0,0,1,0
mucosal invariant T cell,0,0,1,6,1,1,6,5,0,51,0,8,1
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,18,29,0,0,3,0,6,0,332,11
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,12,0,2,1,1,1,0,14,114
