,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,298,0,0,0,0,0,0,0,5,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,41,9,0,0,1,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,196,0,0,36,2,4,3,0,0,0,0
T-helper 22 cell,0,0,0,83,11,0,1,2,0,4,0,2,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,68,200,2,11,4,0,8,0,84,39
"effector CD8-positive, alpha-beta T cell",0,0,5,0,4,88,0,26,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,2,0,0,0,9,70,23,0,10,0,0,6
gamma-delta T cell,0,0,3,20,6,2,2,13,0,1,0,0,0
mature NK T cell,1,0,4,0,0,1,1,1,72,0,0,1,0
mucosal invariant T cell,0,0,0,10,0,0,7,13,0,45,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,189,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,0,7,0,0,0,0,3,0,214,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,20,13,0,5,0,0,0,0,12,109
