,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,253,0,0,0,0,0,0,0,0,0,0,1,0
"CD16-negative, CD56-bright natural killer cell, human",0,24,7,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,199,0,0,1,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,104,26,0,5,11,0,8,0,10,5
"central memory CD4-positive, alpha-beta T cell",0,0,1,18,174,0,0,5,0,1,0,27,10
"effector CD8-positive, alpha-beta T cell",0,0,2,0,0,46,2,0,0,1,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,1,5,34,5,1,4,0,0,6
gamma-delta T cell,0,1,7,3,3,18,8,51,0,11,0,1,0
mature NK T cell,0,0,2,1,0,2,0,0,58,0,0,0,1
mucosal invariant T cell,0,0,0,8,0,0,9,7,0,32,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,8,28,0,0,3,0,3,0,259,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,4,0,3,1,0,1,0,5,129
