,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,232,0,0,0,0,0,0,0,7,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,9,38,0,0,6,0,3,0,0,0,2,0
"CD16-positive, CD56-dim natural killer cell, human",0,21,355,1,3,88,3,4,0,4,1,14,1
T-helper 22 cell,0,0,2,8,15,0,12,4,0,0,0,25,0
"central memory CD4-positive, alpha-beta T cell",0,0,1,15,50,7,4,1,0,0,0,45,0
"effector CD8-positive, alpha-beta T cell",0,2,36,5,4,59,4,10,0,4,0,30,1
"effector memory CD8-positive, alpha-beta T cell",0,2,30,13,9,18,22,9,0,5,0,65,8
gamma-delta T cell,0,0,14,3,6,15,5,5,0,0,0,32,1
mature NK T cell,5,0,7,0,1,9,0,1,92,0,0,6,0
mucosal invariant T cell,0,0,6,10,5,6,10,0,0,0,0,32,1
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,3,10,24,3,11,1,0,3,0,186,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,1,12,22,2,4,0,0,1,0,114,1
