,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,252,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,1,18,1,7,1,3,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,189,0,2,7,1,0,0,0,1,1,0
T-helper 22 cell,0,0,6,16,84,3,15,1,0,2,0,37,5
"central memory CD4-positive, alpha-beta T cell",0,0,3,8,174,0,6,2,0,0,0,43,0
"effector CD8-positive, alpha-beta T cell",0,0,22,1,3,14,7,0,0,0,0,5,0
"effector memory CD8-positive, alpha-beta T cell",0,1,18,7,5,3,13,1,0,2,0,7,1
gamma-delta T cell,0,0,32,2,5,28,12,0,0,0,0,24,0
mature NK T cell,3,0,5,0,0,2,0,0,53,0,0,1,0
mucosal invariant T cell,0,0,8,5,9,4,8,1,0,1,0,18,4
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,3,8,73,2,18,1,0,1,0,191,9
"naive thymus-derived CD8-positive, alpha-beta T cell",0,1,3,4,42,1,6,0,0,0,0,88,3
