,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,236,0,0,0,0,0,0,0,3,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,50,8,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,7,476,0,0,11,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,48,8,0,1,0,0,1,0,6,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,16,84,3,2,1,0,0,0,15,2
"effector CD8-positive, alpha-beta T cell",0,0,1,1,2,131,17,2,0,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,3,5,1,150,8,0,6,0,1,7
gamma-delta T cell,0,0,4,6,5,4,3,36,0,11,0,10,2
mature NK T cell,2,0,3,0,0,16,1,1,95,1,0,2,0
mucosal invariant T cell,0,0,0,4,0,0,5,5,0,51,0,5,0
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,12,0,0,1,0,0,0,219,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,4,15,0,2,0,0,0,0,16,120
