,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,237,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,50,5,0,2,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,10,461,0,0,19,1,4,0,0,0,0,0
T-helper 22 cell,0,0,0,50,8,0,1,0,0,4,0,3,0
"central memory CD4-positive, alpha-beta T cell",0,0,2,15,80,1,3,0,0,0,0,20,2
"effector CD8-positive, alpha-beta T cell",0,1,16,1,1,125,7,4,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,3,1,8,5,129,12,0,15,0,0,8
gamma-delta T cell,0,1,6,7,8,9,4,26,0,11,0,9,0
mature NK T cell,2,0,4,0,0,14,1,2,95,1,0,2,0
mucosal invariant T cell,0,0,0,5,0,0,6,7,0,48,0,4,0
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,10,16,0,0,1,0,1,0,213,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,18,0,2,0,0,0,0,23,108
